texts,answers
Человек использует только 10% своего мозга.,False
Кошки и собаки видят мир в черно-белых тонах.,False
Дейтерий - это изотоп водорода.,True
Пчёлы не могут видеть красный цвет.,True
Нейтроны - это элементарные частицы с отрицательным зарядом.,False
Земля обращается вокруг Солнца по эллиптической битве.,True
"Период полураспада урана-238 составляет 4,5 миллиарда лет.",True
"""Дельта"" в науке обозначает изменение квантового состояния.",False
Антибиотики эффективны против вирусов.,False
Все диамагнетики являются суперпроводниками.,False
"Коровы могут подниматься вверх по лестнице, но не могут спускаться.",True
Геллаград - самая холодная планета в солнечной системе.,False
"Эволюция - это процесс, который отвечает за биологическое разнообразие на всех уровнях: от королевств до видов и даже внутривидового разнообразия.",True
Климатическое изменение вызывает увеличение средней температуры планеты.,True
Задержания в росте какого-либо растения могут быть вызваны недостатком углекислого газа.,True
В людских генах содержатся вирусные элементы.,True
Все птицы - яйцекладущие.,True
Боль ключевой кости обычно вызывается болезнью Паркинсона.,False
Непрямые эффекты ионизирующей радиации могут вызвать генетические изменения.,True
Апельсины должны быть оранжевыми для созревания.,False
sin(90) − cos(90) = 1,True
2500 * 5 - 5 = 0,False
Этот файл размещен на github.,True
Название этого курса - "LLM практика и теория",False
Пушкин родился в 1837 году в Нью-Йорке.,False